,img_path,2_way_label,3_way_label,6_way_label
55,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\1axoxp.jpg,0.0,1.0,5.0
56,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cfi9kab.jpg,0.0,2.0,4.0
57,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bbyq0r.jpg,0.0,2.0,2.0
58,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5ldail.jpg,0.0,2.0,2.0
59,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6c8u2d.jpg,0.0,2.0,5.0
60,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cnd6wm3.jpg,0.0,2.0,4.0
61,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\10lsus.jpg,0.0,2.0,2.0
62,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bf6ox4.jpg,1.0,0.0,0.0
63,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cblv6le.jpg,0.0,2.0,4.0
64,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9hdnf8.jpg,1.0,0.0,0.0
65,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\yrin3.jpg,1.0,0.0,0.0
66,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7bc35l.jpg,0.0,2.0,2.0
67,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cfwvtzo.jpg,0.0,2.0,4.0
68,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cjwgmyk.jpg,0.0,2.0,4.0
69,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7r5lh1.jpg,0.0,2.0,2.0
70,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7um7vm.jpg,0.0,2.0,2.0
71,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9c7yel.jpg,1.0,0.0,0.0
72,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6doyp8.jpg,1.0,0.0,0.0
73,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cgj14iw.jpg,0.0,2.0,4.0
74,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5t46bg.jpg,1.0,0.0,0.0
75,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8gy12w.jpg,1.0,0.0,0.0
76,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c48gv8u.jpg,0.0,2.0,4.0
77,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d08xd91.jpg,0.0,2.0,4.0
78,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\34dbhh.jpg,1.0,0.0,0.0
79,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bisjlb.jpg,0.0,2.0,3.0
80,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dxbl5d1.jpg,0.0,2.0,4.0
81,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\atictl.jpg,1.0,0.0,0.0
82,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ca6yf25.jpg,0.0,2.0,4.0
83,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\1j6rxh.jpg,0.0,2.0,2.0
84,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\92grdc.jpg,0.0,2.0,2.0
85,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b9pu7e.jpg,1.0,0.0,0.0
86,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\btyp9j.jpg,1.0,0.0,0.0
87,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\91lrz2.jpg,0.0,2.0,2.0
88,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cn8y04.jpg,1.0,0.0,0.0
89,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6yqdqx.jpg,0.0,2.0,1.0
90,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dgzo9ew.jpg,0.0,2.0,4.0
91,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cgs62j2.jpg,0.0,2.0,4.0
92,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cyhb6lj.jpg,0.0,2.0,4.0
93,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\4n2kke.jpg,0.0,2.0,5.0
94,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bgfggg.jpg,0.0,2.0,1.0
95,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d9cx59o.jpg,0.0,2.0,4.0
96,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cd6utv.jpg,1.0,0.0,0.0
97,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cjvcm9.jpg,1.0,0.0,0.0
98,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8b8zfk.jpg,0.0,2.0,2.0
99,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9isf9d.jpg,1.0,0.0,0.0
100,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\4nqeef.jpg,0.0,2.0,2.0
101,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6axn30.jpg,1.0,0.0,0.0
102,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\con4vp.jpg,1.0,0.0,0.0
103,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6qoxtt.jpg,0.0,2.0,3.0
104,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\4vbn6x.jpg,0.0,2.0,3.0
105,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cd9d7p9.jpg,0.0,2.0,4.0
106,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\2ins9s.jpg,1.0,0.0,0.0
107,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\87xdgi.jpg,0.0,2.0,2.0
108,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5gc0y0.jpg,0.0,2.0,2.0
109,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\985xzu.jpg,0.0,2.0,2.0
110,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9aqbs7.jpg,1.0,0.0,0.0
111,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3bltkh.jpg,1.0,0.0,0.0
112,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\743fpv.jpg,0.0,2.0,2.0
113,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b6lfv9.jpg,1.0,0.0,0.0
114,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cb6vwe9.jpg,0.0,2.0,4.0
115,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\2u2m21.jpg,0.0,2.0,2.0
116,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\crtxe3d.jpg,0.0,2.0,4.0
117,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\25iepz.jpg,0.0,2.0,2.0
118,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cow9si.jpg,1.0,0.0,0.0
119,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cncd8ob.jpg,0.0,2.0,4.0
120,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b1szf3.jpg,1.0,0.0,0.0
121,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5u8tpa.jpg,1.0,0.0,0.0
122,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cckxj6n.jpg,0.0,2.0,4.0
123,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b47kak.jpg,0.0,2.0,2.0
124,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dj49km7.jpg,0.0,2.0,4.0
125,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6snig2.jpg,0.0,2.0,2.0
126,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c67pt97.jpg,0.0,2.0,4.0
127,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3tpd5d.jpg,0.0,2.0,2.0
128,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9jxgxg.jpg,1.0,0.0,0.0
129,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9cxb6t.jpg,1.0,0.0,0.0
130,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\54vuac.jpg,0.0,2.0,2.0
131,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\4bd17p.jpg,1.0,0.0,0.0
132,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cm73j7o.jpg,0.0,2.0,4.0
133,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cca2e90.jpg,0.0,2.0,4.0
134,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c7hqd0.jpg,1.0,0.0,0.0
135,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\as18j1.jpg,0.0,2.0,2.0
136,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5lvrj4.jpg,0.0,2.0,2.0
137,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9ipwn3.jpg,0.0,2.0,2.0
138,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\1eajus.jpg,1.0,0.0,0.0
139,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\daa1of.jpg,1.0,0.0,0.0
140,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\48frfv.jpg,1.0,0.0,0.0
141,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\1cyewk.jpg,0.0,1.0,5.0
142,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\byntzu.jpg,1.0,0.0,0.0
143,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ci8tpq8.jpg,0.0,2.0,4.0
144,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c6mz4i6.jpg,0.0,2.0,4.0
145,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cms43l1.jpg,0.0,2.0,4.0
146,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9ferch.jpg,0.0,1.0,5.0
147,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dco8hi.jpg,0.0,2.0,3.0
148,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\arkh9j.jpg,0.0,2.0,2.0
149,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d6lkku8.jpg,0.0,2.0,4.0
150,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3snypd.jpg,1.0,0.0,0.0
151,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c1ryhn.jpg,0.0,2.0,2.0
152,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ckvnlb3.jpg,0.0,2.0,4.0
153,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\81qr8r.jpg,0.0,2.0,2.0
154,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ch4un7y.jpg,0.0,2.0,4.0
155,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ckl79t8.jpg,0.0,2.0,4.0
156,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\br1787.jpg,1.0,0.0,0.0
157,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8nvhnj.jpg,1.0,0.0,0.0
158,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\26tedr.jpg,1.0,0.0,0.0
159,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b4x423.jpg,0.0,2.0,2.0
160,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cnqgika.jpg,0.0,2.0,4.0
161,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6kk3yf.jpg,0.0,2.0,5.0
162,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cc4tjf2.jpg,0.0,2.0,4.0
163,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7cq6g6.jpg,0.0,2.0,1.0
164,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\boxvcs.jpg,0.0,2.0,2.0
165,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7l04yj.jpg,1.0,0.0,0.0
166,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\p91oq.jpg,0.0,2.0,2.0
167,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5q8fu3.jpg,0.0,2.0,2.0
168,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\2900be.jpg,0.0,2.0,2.0
169,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dl8oub6.jpg,0.0,2.0,4.0
170,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bo8185.jpg,1.0,0.0,0.0
171,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\arsa8c.jpg,1.0,0.0,0.0
172,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b6n7wn.jpg,1.0,0.0,0.0
173,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c14ez1.jpg,1.0,0.0,0.0
174,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\2l4snn.jpg,1.0,0.0,0.0
175,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7039dy.jpg,1.0,0.0,0.0
176,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\awzm62.jpg,0.0,2.0,2.0
177,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cbybizf.jpg,0.0,2.0,4.0
178,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c8vj81i.jpg,0.0,2.0,4.0
179,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ci36lz.jpg,0.0,2.0,2.0
180,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\46u2x1.jpg,0.0,2.0,3.0
181,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cd0qno5.jpg,0.0,2.0,4.0
182,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cqr3t4t.jpg,0.0,2.0,4.0
183,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8fzizo.jpg,1.0,0.0,0.0
184,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d6h6pc.jpg,1.0,0.0,0.0
185,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7w1kdc.jpg,0.0,2.0,2.0
186,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3f44h3.jpg,1.0,0.0,0.0
187,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\avbtm7.jpg,0.0,2.0,2.0
188,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\9cmmfb.jpg,0.0,2.0,2.0
189,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3hpy5u.jpg,1.0,0.0,0.0
190,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cs7d7fr.jpg,0.0,2.0,4.0
191,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5w2opz.jpg,0.0,2.0,3.0
192,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cahk3w7.jpg,0.0,2.0,4.0
193,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\citqmp2.jpg,0.0,2.0,4.0
194,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\13pvj6.jpg,1.0,0.0,0.0
195,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ckdtgdy.jpg,0.0,2.0,4.0
196,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\axt4z4.jpg,1.0,0.0,0.0
197,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8qagh9.jpg,0.0,2.0,2.0
198,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cw1gdc.jpg,0.0,2.0,2.0
199,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bmauu8.jpg,1.0,0.0,0.0
200,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\67ly92.jpg,1.0,0.0,0.0
201,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c424z3f.jpg,0.0,2.0,4.0
202,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\df8srkd.jpg,0.0,2.0,4.0
203,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\d1ywuya.jpg,0.0,2.0,4.0
204,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\43o9s8.jpg,1.0,0.0,0.0
205,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\59v2tn.jpg,1.0,0.0,0.0
206,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\5qnh41.jpg,0.0,2.0,1.0
207,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3mrjdg.jpg,1.0,0.0,0.0
208,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\j672f.jpg,0.0,2.0,2.0
209,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cfr23c.jpg,1.0,0.0,0.0
210,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cvl7lp.jpg,0.0,2.0,2.0
211,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\28oons.jpg,0.0,2.0,1.0
212,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\b299bo.jpg,1.0,0.0,0.0
213,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\96dnjc.jpg,0.0,2.0,2.0
214,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3bw3j1.jpg,0.0,2.0,2.0
215,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\c75pn3t.jpg,0.0,2.0,4.0
216,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bbi9b4.jpg,1.0,0.0,0.0
217,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\chovmis.jpg,0.0,2.0,4.0
218,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\czxbpy5.jpg,0.0,2.0,4.0
219,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\6pi24c.jpg,0.0,2.0,1.0
220,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cagnb7s.jpg,0.0,2.0,4.0
221,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\comqpbo.jpg,0.0,2.0,4.0
222,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\81rwp4.jpg,0.0,2.0,2.0
223,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\dbv9ftu.jpg,0.0,2.0,4.0
224,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\clhf2bt.jpg,0.0,2.0,4.0
225,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\bw2sd3.jpg,1.0,0.0,0.0
226,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\7ghacd.jpg,0.0,2.0,1.0
227,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\3umny4.jpg,1.0,0.0,0.0
228,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\cbtkxd.jpg,1.0,0.0,0.0
229,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\8qka72.jpg,0.0,2.0,2.0
230,D:\UB\2nd_sem\CSE_676_DL\Project\DL_work\Code\Images\ca2bqeq.jpg,0.0,2.0,4.0
